"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
83,40,"KHM","Cambodia",11,"Krâchéh",83,"Preaek Prasab","KH.KH.PP",NA,"","Srok","District","",""
84,40,"KHM","Cambodia",11,"Krâchéh",84,"Sambour","KH.KH.SB",NA,"","Srok","District","",""
85,40,"KHM","Cambodia",11,"Krâchéh",85,"Snuol","KH.KH.SN",NA,"","Srok","District","",""
86,40,"KHM","Cambodia",12,"Krong Pailin",86,"Pailin","KH.PL.PL",NA,"","Srok","District","",""
87,40,"KHM","Cambodia",12,"Krong Pailin",87,"Sala Krau","KH.PL.SK",NA,"","Srok","District","",""
88,40,"KHM","Cambodia",13,"Krong Preah Sihanouk",88,"Mittakpheap","KH.KA.MT",NA,"","Srok","District","",""
89,40,"KHM","Cambodia",13,"Krong Preah Sihanouk",89,"Prey Nob","KH.KA.PN",NA,"","Srok","District","",""
90,40,"KHM","Cambodia",13,"Krong Preah Sihanouk",90,"Stueng hav","KH.KA.SH",NA,"","Srok","District","",""
91,40,"KHM","Cambodia",14,"Môndól Kiri",91,"Kaev Seima","KH.MK.KS",NA,"","Srok","District","",""
92,40,"KHM","Cambodia",14,"Môndól Kiri",92,"Kaoh Nheaek","KH.MK.KN",NA,"","Srok","District","",""
93,40,"KHM","Cambodia",14,"Môndól Kiri",93,"Ou Reang","KH.MK.OR",NA,"","Srok","District","",""
94,40,"KHM","Cambodia",14,"Môndól Kiri",94,"Pechr Chenda","KH.MK.PC",NA,"","Srok","District","",""
95,40,"KHM","Cambodia",14,"Môndól Kiri",95,"Saen Monourom","KH.MK.SM",NA,"","Srok","District","",""
96,40,"KHM","Cambodia",15,"Otdar Mean Chey",96,"Anlong Veaeng","KH.OC.AV",NA,"","Srok","District","",""
97,40,"KHM","Cambodia",15,"Otdar Mean Chey",97,"Banteay Ampil","KH.OC.BA",NA,"","Srok","District","",""
98,40,"KHM","Cambodia",15,"Otdar Mean Chey",98,"Chong Kal","KH.OC.CK",NA,"","Srok","District","",""
99,40,"KHM","Cambodia",15,"Otdar Mean Chey",99,"Samraong","KH.OC.SR",NA,"","Srok","District","",""
100,40,"KHM","Cambodia",16,"Phnom Penh",100,"Dangkao","KH.PP.DK",NA,"","Srok","District","",""
101,40,"KHM","Cambodia",16,"Phnom Penh",101,"Mean Chey","KH.PP.MC",NA,"","Srok","District","",""
102,40,"KHM","Cambodia",16,"Phnom Penh",102,"Phnom Penh","",NA,"","Srok","District","",""
103,40,"KHM","Cambodia",16,"Phnom Penh",103,"Ruessei Kaev","KH.PP.RK",NA,"","Srok","District","",""
104,40,"KHM","Cambodia",17,"Pouthisat",104,"Bakan","KH.PO.BK",NA,"","Srok","District","",""
105,40,"KHM","Cambodia",17,"Pouthisat",105,"Kandieng","KH.PO.KD",NA,"","Srok","District","",""
106,40,"KHM","Cambodia",17,"Pouthisat",106,"Krakor","KH.PO.KK",NA,"","Srok","District","",""
107,40,"KHM","Cambodia",17,"Pouthisat",107,"Phnum Kravanh","KH.PO.PK",NA,"","Srok","District","",""
108,40,"KHM","Cambodia",17,"Pouthisat",108,"Sampov Meas","KH.PO.SM",NA,"","Srok","District","",""
109,40,"KHM","Cambodia",17,"Pouthisat",109,"Veal Veaeng","KH.PO.VV",NA,"","Srok","District","",""
110,40,"KHM","Cambodia",18,"Preah Vihéar",110,"Chey Saen","KH.PH.CS",NA,"","Srok","District","",""
111,40,"KHM","Cambodia",18,"Preah Vihéar",111,"Chhaeb","KH.PH.CB",NA,"","Srok","District","",""
112,40,"KHM","Cambodia",18,"Preah Vihéar",112,"Choam Khsant","KH.PH.CK",NA,"","Srok","District","",""
113,40,"KHM","Cambodia",18,"Preah Vihéar",113,"Kuleaen","KH.PH.KL",NA,"","Srok","District","",""
114,40,"KHM","Cambodia",18,"Preah Vihéar",114,"Rovieng","KH.PH.RV",NA,"","Srok","District","",""
115,40,"KHM","Cambodia",18,"Preah Vihéar",115,"Sangkom Thmei","KH.PH.ST",NA,"","Srok","District","",""
116,40,"KHM","Cambodia",18,"Preah Vihéar",116,"Tbaeng Mean chey","KH.PH.TM",NA,"","Srok","District","",""
117,40,"KHM","Cambodia",19,"Prey Vêng",117,"Ba Phnum","KH.PY.BP",NA,"","Srok","District","",""
118,40,"KHM","Cambodia",19,"Prey Vêng",118,"Kamchay Mear","KH.PY.KM",NA,"","Srok","District","",""
119,40,"KHM","Cambodia",19,"Prey Vêng",119,"Kampong Leav","KH.PY.KL",NA,"","Srok","District","",""
